date,home,hscore,road,rscore,line,lineavg,linesag,linesage,linesagp,linesaggm,linemoore,lineopen,linedok,linefox,std,linepugh,linedonc,neutral,lineashby,lineespn,linepir,linepiw,linepib,line7ot,lineer,linedd,linemassey,linedunk,lineround,lineteamrnks
11/14/2016,Montana,72,Wyoming,73,5.5,4.07,4.48,3.95,4.68,4.17,5.06,5.5,-0.34,5,1.81,1.6,4.1,0,,7.67,,,,,,,4.44,,,
11/14/2016,Montana St.,84,Louisiana-Lafayette,83,3,-3.09,-1.04,-1.61,-0.63,-1.76,-6.85,-2.5,-2.58,-6,2.28,-1.94,-5.9,0,,-0.68,,,,,,,-5.02,,,
11/14/2016,Nevada,79,Loyola Marymount,64,10,8.94,8.89,8.82,8.61,9.36,11.87,9.5,7.04,8,1.64,5.96,10.3,0,,10.49,,,,,,,9.02,,,
11/14/2016,Northwestern,86,Eastern Washington,72,17,16.21,19.02,18.66,19.12,18.84,19.38,17,14.55,14,2.52,16.25,12.4,0,,12.86,,,,,,,13.28,,,
11/14/2016,Oakland,77,Western Michigan,60,7,10.52,10.21,11.12,9.77,10.94,9.32,6,8.65,13,1.89,8.82,11.2,0,,12.01,,,,,,,10.69,,,
11/14/2016,Ohio St.,69,NC Central,63,24,21.84,22.09,23.46,21.4,23.31,24.92,23.5,21.58,19,1.65,22.16,21.1,0,,16.32,,,,,,,24.85,,,
11/14/2016,Pacific,76,Wisconsin-Green Bay,58,-1.5,-3.72,-2.34,-0.82,-3.42,-0.72,-3.19,-3.5,-2.23,-3,3.33,-12.54,-3.7,0,,,,,,,,,-5.22,,,
11/14/2016,Providence,80,Vermont,58,5,6.56,1.48,1.91,0.88,2.41,4.71,7,9.8,9,4.62,10.6,14.3,0,,4.14,,,,,,,12.89,,,
11/14/2016,Purdue,76,Villanova,79,-3,-2.14,0.94,0.72,1.15,0.69,-3.49,0,-1.37,-4,2.96,-7.59,-4.1,0,,-2.04,,,,,,,-4.46,,,
11/14/2016,Rhode Island,107,Marist,65,22,20.45,21.49,20.06,22.41,20.1,22.32,21.5,20.64,22,1.29,21.21,18.2,0,,16.8,,,,,,,19.69,,,
11/14/2016,Richmond,61,Old Dominion,64,6.5,3.2,5.82,6.29,5.31,6.76,-6.7,4.5,4.83,1,3.99,1.67,3.3,0,,5.1,,,,,,,1.79,,,
11/14/2016,Saint Louis,88,Southern Utah,76,8,10.68,8.57,9.63,7.3,10.73,19.75,10,10.27,10,3.88,5.39,13.4,0,,10.72,,,,,,,11.74,,,
11/14/2016,San Diego,65,Samford,83,-1.5,4.07,5.02,3.6,5.79,3.64,2.39,4,5.59,4,1.45,6.61,2.2,0,,3.01,,,,,,,2.87,,,
11/14/2016,St. John's,77,Binghamton,61,15,12.66,17.59,14.43,19.4,15.12,-4.99,13,17.16,14,6.83,15.58,11.3,0,,5.9,,,,,,,13.75,,,
11/14/2016,St. Joseph's PA,85,Columbia,65,6,6.71,6.37,6.55,6.05,6.93,7.05,7.5,5.67,6,1.21,5.59,9.7,0,,6.3,,,,,,,7.58,,,
11/14/2016,Tennessee Tech,74,Central Michigan,86,-4.5,-0.73,2.24,1.95,2.28,2.2,-3.8,-2,-4.47,-4,2.79,-1.17,-0.1,0,,-3.88,,,,,,,0.69,,,
11/14/2016,Texas,80,Louisiana-Monroe,59,18,16.12,19.43,21.83,18.24,22.06,10.53,16,15.83,10,4.52,11,13.6,0,,21.12,,,,,,,13.64,,,
11/14/2016,Texas St.,86,SIU Edwardsville,58,2.5,1.66,-1.08,-1.79,-1.54,-0.29,3.12,1,2.58,7,3.33,-2.23,6.2,1,,2.67,,,,,,,3.61,,,
11/14/2016,Troy St.,70,Eastern Illinois,67,7,1.77,1.7,1.72,1.7,1.69,0.49,6.5,1.68,3,1.76,1.53,0.1,0,,4.13,,,,,,,1.73,,,
11/14/2016,UAB,74,Furman,84,14.5,12.16,14.45,16.1,13.83,15.47,9.13,12,13.26,10,2.39,13.95,10.3,0,,8.03,,,,,,,9.23,,,
