"date","home","hscore","road","rscore","line","lineavg","linesag","linesage","linesagp","linepom","linemoore","linemass","linegreen","linedunk","lineargh","linesauce","linemarkov","linerpi"
"12/03/2003","New Mexico St.",67,"New Mexico",48,7.5,4.89,2.69,3.76,1.65,5.52,5.65,10.05,".",".",".",".",".","."
"12/03/2003","Tulane",66,"New Orleans",69,4.0,4.16,1.83,0.33,3.29,3.59,10.38,5.54,".",".",".",".",".","."
"12/03/2003","Canisius",106,"Niagara",109,-5.0,-3.74,-1.15,1.23,-3.72,-10.07,-2.65,-6.05,".",".",".",".",".","."
"12/03/2003","UC Santa Barbara",65,"Pepperdine",62,-1.0,-1.38,-0.68,0.55,-2.00,-7.39,2.57,-1.35,".",".",".",".",".","."
"12/03/2003","Duquesne",45,"Pittsburgh",59,-13.0,-12.42,-9.29,-10.86,-7.92,-15.42,-12.94,-18.09,".",".",".",".",".","."
"12/03/2003","Brown",62,"Rhode Island",66,-8.0,-5.18,-4.79,-5.45,-4.19,-8.89,-4.42,-3.32,".",".",".",".",".","."
"12/03/2003","Houston",52,"Rice",62,-6.5,-8.17,-6.93,-6.22,-7.69,-10.17,-7.25,-10.76,".",".",".",".",".","."
"12/03/2003","Southern Illinois",71,"SE Missouri St.",58,17.0,20.74,18.42,19.25,17.94,21.76,26.08,20.97,".",".",".",".",".","."
"12/03/2003","Baylor",62,"SMU",66,-4.5,2.84,4.08,5.75,2.51,2.43,-0.72,2.96,".",".",".",".",".","."
"12/03/2003","San Diego",63,"San Diego St.",66,-7.0,-6.56,-9.32,-7.95,-10.87,-11.66,6.23,-5.83,".",".",".",".",".","."
"12/03/2003","San Jose St.",64,"Santa Clara",66,-2.5,-3.54,-1.93,-1.96,-2.16,-3.44,-7.72,-4.01,".",".",".",".",".","."
"12/03/2003","Citadel",38,"South Carolina",70,-15.0,-15.69,-12.62,-16.84,-9.67,-16.46,-18.44,-20.13,".",".",".",".",".","."
"12/03/2003","St. Bonaventure",78,"Syracuse",87,-10.0,-2.68,3.50,6.58,-0.07,-1.42,-19.59,-5.08,".",".",".",".",".","."
"12/03/2003","Rutgers",77,"Temple",67,3.5,6.96,8.02,6.34,9.76,9.31,0.26,8.06,".",".",".",".",".","."
"12/03/2003","Memphis",84,"Tennessee-Martin",64,23.5,19.48,14.28,12.70,16.64,21.92,29.93,21.41,".",".",".",".",".","."
"12/03/2003","Arkansas St.",63,"Toledo",64,4.0,5.55,7.54,10.15,5.30,5.32,3.02,1.98,".",".",".",".",".","."
"12/03/2003","California",65,"UC Irvine",57,11.5,7.86,5.75,2.60,9.00,10.79,9.38,9.62,".",".",".",".",".","."
"12/03/2003","USC",83,"UNLV",92,10.5,6.67,6.89,7.03,6.79,2.87,13.51,2.93,".",".",".",".",".","."
"12/03/2003","Texas Tech",70,"UTEP",57,17.5,20.48,16.80,17.38,16.24,18.67,28.05,25.76,".",".",".",".",".","."
"12/03/2003","Utah",56,"Utah St.",45,5.0,2.85,1.32,0.87,1.40,1.86,8.75,2.89,".",".",".",".",".","."
"12/03/2003","Richmond",70,"VA Commonwealth",52,6.0,4.95,4.71,3.82,5.47,6.23,5.81,3.67,".",".",".",".",".","."
